,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
18,류지혁,두산,0.200,14,5,5,3,1,0,0,0,1,0,0,0,0,1,0,-,0,0.00,4.20,0.000,0.1,0.14
19,장민석,두산,0.189,53,63,53,15,10,2,0,0,12,4,1,1,2,14,17,0.82,0,0.54,3.59,0.038,4.3,0.187
20,김진형,두산,0.167,14,21,18,3,3,2,0,1,8,2,0,0,3,4,4,1.00,0,0.43,3.90,0.278,2.1,0.24
21,최재훈,두산,0.152,71,114,99,6,15,3,0,0,18,7,3,1,3,35,31,1.13,0,0.16,3.64,0.030,2.5,0.151
22,양종민,두산,0.125,32,18,16,6,2,0,0,1,5,2,0,0,1,1,8,0.13,0,0.40,3.78,0.188,1.0,0.17800000000000002
23,루츠,두산,0.111,8,30,27,2,3,0,0,1,6,3,0,1,1,10,9,1.11,0,0.33,3.83,0.111,0.9,0.131
24,노경은,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
25,니퍼트,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
26,양현,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
27,이원재,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
28,이현승,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
29,진야곱,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
30,이창열,한화,0.5,5,2,2,0,1,1,0,0,2,1,0,0,1,0,1,0.00,0,-,5.5,0.5,0.6,0.475
31,이용규,한화,0.341,124,585,493,94,168,15,7,4,209,42,11,4,26,177,107,1.65,3,1.51,3.98,0.083,93.2,0.298
32,김경언,한화,0.337,107,437,377,58,127,21,1,16,198,78,5,3,38,96,68,1.41,10,0.56,4.13,0.188,75.1,0.318
33,박노민,한화,0.33299999999999996,23,26,24,1,8,0,0,0,8,4,0,0,0,5,0,-,0,0.18,4.15,0.0,3.2,0.257
34,정근우,한화,0.316,126,552,468,99,148,30,2,12,218,66,13,2,44,158,98,1.61,13,0.92,3.59,0.15,84.9,0.298
35,김태균,한화,0.316,133,524,408,61,129,28,0,21,220,104,1,5,49,120,84,1.43,11,1.23,4.24,0.223,96.1,0.34
36,정현석,한화,0.31,43,133,116,20,36,6,0,1,45,12,2,0,7,31,25,1.24,1,0.54,3.92,0.078,16.8,0.272
37,하주석,한화,0.3,4,11,10,3,3,0,0,0,3,1,0,0,0,2,1,2.00,0,0.25,3.73,0.0,1.2,0.239
38,최진행,한화,0.29100000000000004,109,410,333,55,97,17,0,18,168,64,5,3,35,71,67,1.06,5,0.64,4.13,0.213,67.1,0.311
39,이종환,한화,0.29,44,106,100,14,29,4,0,0,33,12,0,0,4,31,19,1.63,2,0.29,4.06,0.04,10.9,0.231
40,이시찬,한화,0.281,34,72,64,7,18,1,0,0,19,6,1,2,1,19,17,1.12,0,0.33,3.94,0.016,6.2,0.22
41,폭스,한화,0.278,38,121,108,16,30,4,0,7,55,25,0,2,11,30,23,1.30,1,0.30,3.72,0.231,16.3,0.28
42,모건,한화,0.273,10,42,33,2,9,2,0,0,11,5,0,1,2,11,6,1.83,1,0.50,3.93,0.061,5.3,0.266
43,강경학,한화,0.257,120,376,311,50,80,7,4,2,101,27,17,3,13,103,73,1.41,3,0.69,4.08,0.068,40.0,0.23800000000000002
44,장운호,한화,0.254,42,141,114,17,29,4,0,2,39,8,11,0,6,30,28,1.07,0,0.37,3.43,0.08800000000000001,14.1,0.24100000000000002
45,이성열,한화,0.25,101,268,232,35,58,10,2,9,99,36,5,2,21,47,42,1.12,4,0.23,3.92,0.177,33.1,0.256
46,지성준,한화,0.25,9,12,12,1,3,1,0,0,4,0,0,0,1,2,2,1.00,0,0.00,4.17,0.083,0.9,0.196
47,송광민,한화,0.243,12,41,37,2,9,2,0,0,11,1,1,0,2,12,5,2.40,0,0.18,3.61,0.054000000000000006,3.0,0.209
48,김태완,한화,0.239,22,50,46,5,11,2,0,0,13,3,0,0,2,10,9,1.11,0,0.13,4.04,0.043,3.7,0.20600000000000002
49,조인성,한화,0.23199999999999998,106,310,276,33,64,11,0,11,108,44,11,1,22,68,56,1.21,1,0.18,3.52,0.159,31.4,0.22699999999999998
50,한상훈,한화,0.23,35,75,61,7,14,4,0,0,18,8,5,0,4,19,10,1.90,0,0.44,3.97,0.066,5.4,0.222
51,신성현,한화,0.225,64,117,102,17,23,3,0,4,38,17,2,0,7,20,15,1.33,3,0.30,3.97,0.147,13.0,0.23399999999999999
52,권용관,한화,0.22,116,341,296,32,65,8,1,5,90,22,17,1,14,77,69,1.12,1,0.21,4.04,0.084,25.2,0.204
53,주현상,한화,0.21,103,246,214,18,45,7,0,0,52,12,6,2,7,65,60,1.08,1,0.46,3.87,0.033,16.1,0.19
54,김회성,한화,0.209,83,268,225,36,47,10,2,16,109,35,3,2,28,44,78,0.56,1,0.48,4.19,0.276,36.7,0.265
55,송주호,한화,0.2,121,156,140,18,28,6,0,1,37,9,8,0,7,45,31,1.45,1,0.19,3.49,0.064,9.3,0.175
56,허도환,한화,0.17600000000000002,61,106,91,8,16,7,0,1,26,6,3,0,8,26,20,1.30,0,0.24,4.0,0.11,6.6,0.19399999999999998
57,황선일,한화,0.174,13,25,23,1,4,2,0,0,6,2,0,0,2,6,7,0.86,0,0.17,3.6,0.087,1.2,0.17300000000000001
58,고동진,한화,0.16899999999999998,27,70,59,5,10,4,0,0,14,7,5,0,4,21,15,1.40,0,0.15,3.44,0.068,2.5,0.17
59,정범모,한화,0.135,51,114,96,3,13,2,0,0,15,10,7,1,2,35,26,1.35,1,0.39,3.47,0.021,2.9,0.136
60,김주찬,KIA,0.327,98,377,333,66,109,23,2,18,190,62,1,8,43,79,95,0.83,7,0.40,3.79,0.243,68.7,0.315
61,필,KIA,0.325,143,591,536,81,174,35,1,22,277,101,0,9,58,139,158,0.88,15,0.58,3.56,0.192,96.1,0.297
62,황대인,KIA,0.273,22,44,44,3,12,2,0,2,20,7,0,0,4,8,6,1.33,0,0.00,2.91,0.182,4.2,0.237
63,이범호,KIA,0.270,138,514,437,60,118,25,0,28,227,79,0,4,53,99,133,0.74,7,0.63,4.02,0.249,80.9,0.297
64,김원섭,KIA,0.267,110,341,277,45,74,13,3,5,108,33,6,2,21,80,79,1.01,3,1.15,4.37,0.123,45.6,0.272
65,신종길,KIA,0.262,99,348,313,56,82,13,4,5,118,28,4,0,22,92,59,1.56,3,0.31,4.02,0.115,40.7,0.242
66,김민우,KIA,0.260,90,315,269,28,70,16,1,6,106,34,21,3,23,62,65,0.95,5,0.28,4.12,0.134,35.0,0.239
67,최희섭,KIA,0.256,42,149,125,18,32,3,0,6,53,20,0,1,9,33,27,1.22,1,0.65,4.27,0.168,21.1,0.272
68,나지완,KIA,0.253,116,368,304,34,77,16,0,7,114,31,0,2,23,66,84,0.79,1,0.58,4.23,0.122,45.6,0.264
69,김다원,KIA,0.245,108,274,245,31,60,9,0,5,84,30,0,2,14,65,55,1.18,3,0.22,4.03,0.098,26.6,0.22899999999999998
70,백용환,KIA,0.234,65,177,154,22,36,6,0,10,72,30,0,3,16,37,37,1.00,6,0.40,4.17,0.234,24.0,0.259
71,김주형,KIA,0.229,45,88,83,2,19,3,0,2,28,3,0,0,5,15,27,0.56,0,0.14,3.45,0.108,6.7,0.207
72,최용규,KIA,0.225,69,200,182,23,41,4,3,2,57,18,1,2,9,59,41,1.44,1,0.33,4.21,0.088,16.8,0.205
73,이성우,KIA,0.222,79,134,117,8,26,8,0,1,37,16,5,3,9,46,28,1.64,3,0.45,3.78,0.094,9.8,0.201
74,김호령,KIA,0.218,103,283,257,31,56,10,2,1,73,21,6,0,13,67,51,1.31,1,0.18,3.92,0.066,21.1,0.19399999999999998
75,이홍구,KIA,0.216,112,246,222,25,48,10,1,12,96,39,5,0,23,47,63,0.75,7,0.19,3.53,0.216,27.5,0.233
76,오준혁,KIA,0.213,32,86,80,11,17,2,0,2,25,10,1,2,4,26,17,1.53,0,0.09,3.42,0.100,5.2,0.184
77,강한울,KIA,0.205,90,292,264,30,54,8,3,0,68,12,12,0,11,91,68,1.34,0,0.25,3.92,0.053,16.6,0.177
78,박기남,KIA,0.203,51,93,69,8,14,3,0,0,17,3,3,0,3,21,15,1.40,0,1.11,4.15,0.043,8.6,0.237
79,이인행,KIA,0.200,20,33,30,0,6,0,0,0,6,0,1,0,0,6,9,0.67,0,0.22,3.61,0.000,1.5,0.163
80,박찬호,KIA,0.182,69,150,137,13,25,5,1,0,32,6,4,0,6,46,29,1.59,0,0.24,4.07,0.051,6.5,0.163
81,차일목,KIA,0.174,11,25,23,0,4,0,0,0,4,2,0,0,0,8,7,1.14,0,0.50,3.88,0.000,0.6,0.152
82,윤완주,KIA,0.171,28,38,35,4,6,1,0,1,10,2,1,1,2,12,10,1.20,0,0.00,3.32,0.114,2.2,0.157
83,이은총,KIA,0.171,11,38,35,3,6,1,0,0,7,3,1,0,1,12,10,1.20,1,0.14,3.95,0.029,1.3,0.147
84,박준태,KIA,0.167,51,88,66,15,11,2,1,0,15,4,3,0,3,18,17,1.06,0,0.65,3.99,0.061,8.0,0.21600000000000003
85,최병연,KIA,0.167,19,7,6,2,1,0,0,0,1,0,0,0,0,2,1,2.00,0,0.00,5.86,0.000,0.4,0.17
86,고영우,KIA,0.154,82,57,52,17,8,2,0,1,13,4,1,0,3,17,12,1.42,0,0.27,4.11,0.096,3.0,0.159
87,이호신,KIA,0.140,54,62,50,9,7,1,0,0,8,3,3,1,1,14,14,1.00,0,0.38,4.29,0.020,3.1,0.154
88,노수광,KIA,0.083,10,14,12,2,1,1,0,0,2,1,0,0,1,2,2,1.00,0,0.29,4.79,0.083,0.4,0.138
89,김광수,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
90,김선민,kt,0.429,23,38,35,2,15,2,0,0,17,3,0,1,2,5,10,0.5,1,0.33,3.24,0.057,7.3,0.32299999999999995
91,마르테,kt,0.348,115,487,425,85,148,32,1,20,242,89,0,8,53,88,137,0.64,7,0.85,3.57,0.221,88.3,0.32899999999999996
92,댄블랙,kt,0.33299999999999996,54,225,198,25,66,10,1,12,114,32,0,0,23,41,39,1.05,5,0.48,4.0,0.242,42.2,0.33
93,장성호,kt,0.309,49,114,94,11,29,4,0,1,36,16,0,1,5,31,20,1.55,0,1.13,4.38,0.07400000000000001,16.3,0.285
94,이대형,kt,0.302,140,616,546,86,165,23,3,0,194,37,10,1,26,236,54,4.37,2,0.58,3.77,0.053,76.6,0.255
95,박경수,kt,0.284,137,537,440,75,125,30,1,22,223,73,6,4,53,99,105,0.94,7,0.64,4.28,0.223,89.1,0.306
96,장성우,kt,0.284,133,491,433,55,123,20,1,13,184,77,3,9,34,123,111,1.11,10,0.54,4.0,0.141,64.2,0.262
97,김상현,kt,0.28,134,539,475,71,133,20,0,27,234,88,0,6,47,140,93,1.51,3,0.43,4.02,0.213,77.5,0.28300000000000003
98,박기혁,kt,0.28,126,350,300,27,84,13,1,1,102,30,16,1,15,82,51,1.61,3,0.36,3.91,0.06,35.3,0.243
99,김민혁,kt,0.276,82,179,156,21,43,2,3,0,51,10,7,0,5,56,27,2.07,0,0.47,3.96,0.051,17.7,0.23600000000000002
100,윤요섭,kt,0.264,74,159,148,17,39,4,0,9,70,28,2,2,13,39,33,1.18,1,0.15,3.62,0.209,19.7,0.25
101,박용근,kt,0.263,27,86,76,7,20,6,0,0,26,4,3,0,6,28,13,2.15,0,0.47,3.67,0.079,7.4,0.23199999999999998
102,오정복,kt,0.259,66,278,239,34,62,11,1,5,90,29,2,1,17,79,73,1.08,5,1.27,4.17,0.11699999999999999,33.7,0.254
103,하준호,kt,0.258,80,279,248,33,64,10,0,6,92,26,2,1,16,60,52,1.15,1,0.29,4.1,0.113,32.7,0.242
104,김사연,kt,0.254,72,248,228,31,58,7,1,7,88,27,3,0,15,46,49,0.94,3,0.21,3.93,0.132,27.6,0.23399999999999999
105,송민섭,kt,0.25,28,51,44,3,11,3,1,0,16,1,5,0,4,8,12,0.67,0,0.15,3.12,0.114,3.9,0.218
106,윤도경,kt,0.25,4,4,4,0,1,0,0,0,1,1,0,0,0,1,1,1.0,0,0.0,4.25,0.0,0.2,0.175
107,모상기,kt,0.231,8,15,13,2,3,0,0,0,3,0,0,0,0,0,5,0.0,0,0.4,4.0,0.0,1.2,0.20800000000000002
108,이지찬,kt,0.231,34,42,39,4,9,2,0,0,11,4,1,0,2,16,8,2.0,0,0.33,3.4,0.051,2.5,0.191
109,김영환,kt,0.22899999999999998,37,49,48,4,11,0,0,1,14,7,0,0,1,14,12,1.17,0,0.09,3.2,0.063,3.5,0.183
110,조중근,kt,0.222,25,39,36,4,8,0,0,1,11,2,0,0,1,13,9,1.44,0,0.5,4.26,0.083,2.9,0.203
111,김종민,kt,0.21899999999999997,26,35,32,2,7,0,0,0,7,1,0,0,0,8,14,0.57,0,0.67,4.31,0.0,1.9,0.183
112,김진곤,kt,0.212,67,87,85,11,18,1,0,0,19,6,1,0,1,29,18,1.61,0,0.0,3.37,0.012,3.5,0.155
113,김태훈,kt,0.209,22,44,43,3,9,1,0,1,13,2,0,1,2,9,10,0.9,0,0.0,3.61,0.09300000000000001,2.5,0.168
114,신명철,kt,0.209,89,168,134,12,28,2,2,2,40,18,6,1,6,44,26,1.69,0,0.73,4.42,0.09,15.5,0.228
115,김동명,kt,0.196,21,66,51,8,10,3,0,0,13,3,1,0,3,14,11,1.27,0,0.81,4.52,0.059000000000000004,6.0,0.23
116,심우준,kt,0.16899999999999998,106,146,142,16,24,7,0,1,34,14,2,0,8,44,39,1.13,1,0.06,3.45,0.07,3.1,0.141
117,문상철,kt,0.163,51,88,80,10,13,3,0,2,22,6,1,0,5,18,17,1.06,0,0.22,3.74,0.113,4.8,0.172
118,이창진,kt,0.158,13,20,19,1,3,1,0,0,4,0,0,0,1,4,6,0.67,0,0.17,3.4,0.053,0.6,0.14300000000000002
119,배병옥,kt,0.092,66,68,65,8,6,1,0,1,10,2,1,0,2,17,19,0.89,0,0.04,3.69,0.062,-0.4,0.092
120,양원혁,LG,0.5,3,2,2,2,1,0,0,0,1,1,0,0,0,1,0,-,0,-,3.0,0.0,0.4,0.35
121,서상우,LG,0.34,58,171,159,29,54,8,0,6,80,22,0,0,14,36,38,0.95,3,0.29,4.15,0.16399999999999998,28.6,0.299
122,안익훈,LG,0.33899999999999997,50,74,62,9,21,2,1,0,25,3,3,0,3,18,13,1.38,0,0.90,4.18,0.065,10.4,0.29100000000000004
123,강병의,LG,0.33299999999999996,8,3,3,0,1,0,0,0,1,0,0,0,0,1,0,-,0,0.00,4.0,0.0,-0.1,0.233
124,한나한,LG,0.327,32,126,107,17,35,9,0,4,56,22,1,3,13,24,20,1.20,3,0.39,4.38,0.196,21.3,0.311
125,박용택,LG,0.326,128,533,487,66,159,28,2,18,245,83,1,7,48,127,135,0.94,10,0.47,3.77,0.177,85.3,0.292
126,백창수,LG,0.32299999999999995,25,36,31,4,10,4,0,0,14,0,2,0,4,8,10,0.80,0,1.00,3.39,0.129,5.1,0.285
127,히메네스,LG,0.312,70,299,279,37,87,17,2,11,141,46,0,4,30,40,108,0.37,2,0.25,3.73,0.19399999999999998,47.1,0.281
128,정성훈,LG,0.284,117,440,363,47,103,16,1,9,148,45,6,4,26,106,93,1.14,5,0.83,3.97,0.124,61.2,0.278
129,임훈,LG,0.278,88,296,252,44,70,12,1,1,87,24,7,2,14,73,67,1.09,0,0.59,3.7,0.067,33.4,0.25
130,오지환,LG,0.278,138,566,497,76,138,41,4,11,220,56,3,3,56,117,124,0.94,9,0.49,4.29,0.165,80.4,0.271
131,나성용,LG,0.27399999999999997,40,79,73,7,20,2,0,3,31,9,0,0,5,11,13,0.85,0,0.14,3.94,0.151,9.6,0.254
132,유강남,LG,0.272,126,313,279,26,76,11,1,8,113,37,7,1,20,68,81,0.84,4,0.35,3.74,0.133,35.6,0.251
133,황목치승,LG,0.268,24,74,71,13,19,3,1,0,24,8,0,1,4,25,18,1.39,2,0.20,3.62,0.07,6.6,0.212
134,이민재,LG,0.267,28,34,30,6,8,1,0,0,9,4,1,1,1,8,7,1.14,0,0.13,3.68,0.033,2.9,0.21100000000000002
135,양석환,LG,0.26,125,384,358,36,93,22,1,8,141,48,5,3,31,73,120,0.61,4,0.24,3.99,0.134,39.1,0.23
136,이진영,LG,0.256,103,350,301,32,77,5,1,9,111,39,2,2,15,87,84,1.04,6,0.76,3.89,0.113,39.1,0.25
137,김용의,LG,0.251,71,199,171,30,43,5,1,0,50,15,3,0,6,51,39,1.31,1,0.58,4.11,0.040999999999999995,18.8,0.22899999999999998
138,채은성,LG,0.249,90,198,173,25,43,11,2,4,70,20,3,3,17,56,38,1.47,2,0.36,3.94,0.156,22.4,0.244
139,손주인,LG,0.24600000000000002,98,279,244,27,60,9,0,0,69,14,12,1,9,51,93,0.55,1,0.49,3.9,0.037000000000000005,20.5,0.209
140,이병규,LG,0.243,70,277,230,42,56,9,1,12,103,35,1,0,22,48,43,1.12,1,0.52,4.23,0.204,39.5,0.27899999999999997
141,이병규,LG,0.243,70,277,230,42,56,9,1,12,103,35,1,0,8,34,24,1.42,1,0.28,3.65,0.10400000000000001,6.7,0.196
142,이병규,LG,0.21899999999999997,54,102,96,3,21,7,0,1,31,9,0,1,22,48,43,1.12,1,0.52,4.23,0.204,39.5,0.27899999999999997
143,이병규,LG,0.21899999999999997,54,102,96,3,21,7,0,1,31,9,0,1,8,34,24,1.42,1,0.28,3.65,0.10400000000000001,6.7,0.196
144,문선재,LG,0.226,103,245,212,27,48,13,1,5,78,27,6,1,19,48,63,0.76,1,0.43,4.17,0.142,24.6,0.23199999999999998
145,장준원,LG,0.20800000000000002,20,26,24,2,5,0,0,0,5,1,0,1,0,5,7,0.71,0,0.13,3.73,0.0,1.4,0.156
146,최경철,LG,0.20800000000000002,109,215,183,23,38,7,1,3,56,19,9,1,11,43,48,0.90,2,0.25,3.88,0.098,18.5,0.207
147,박지규,LG,0.205,102,189,171,22,35,8,1,0,45,12,4,1,9,49,39,1.26,2,0.20,4.07,0.057999999999999996,11.7,0.182
148,박성준,LG,0.2,11,12,10,3,2,0,0,0,2,0,0,0,0,1,6,0.17,0,2.00,3.42,0.0,1.0,0.2
149,김영관,LG,0.14300000000000002,20,21,21,2,3,0,0,1,6,2,0,0,1,7,2,3.50,0,0.00,3.81,0.14300000000000002,0.4,0.136
150,윤진호,LG,0.083,30,13,12,3,1,0,0,0,1,1,1,0,0,4,4,1.00,0,0.00,4.08,0.0,-0.3,0.057999999999999996
151,최승준,LG,0.077,8,31,26,0,2,0,0,0,2,1,0,1,0,7,11,0.64,0,0.57,4.35,0.0,0.5,0.107
152,손아섭,롯데,0.317,116,517,445,86,141,28,1,13,210,54,0,3,42,144,67,2.15,7,0.71,4.15,0.155,83.4,0.301
153,아두치,롯데,0.314,132,594,526,105,165,34,5,28,293,106,1,4,67,140,107,1.31,10,0.47,4.02,0.243,105.6,0.312
154,강민호,롯데,0.311,123,456,380,63,118,18,1,35,243,86,0,2,54,73,79,0.92,7,0.54,4.21,0.329,92.5,0.349
155,최준석,롯데,0.306,144,618,507,78,155,18,1,31,268,109,1,1,50,129,90,1.43,10,0.81,4.51,0.223,109.2,0.325
156,김문호,롯데,0.306,93,325,288,35,88,13,0,4,113,31,6,2,17,94,63,1.49,1,0.56,3.66,0.087,38.9,0.263
157,정훈,롯데,0.300,135,562,486,85,146,27,2,9,204,62,7,3,38,128,113,1.13,2,0.51,4.04,0.119,76.5,0.27699999999999997
158,황재균,롯데,0.290,144,596,534,95,155,41,2,26,278,97,4,6,69,109,154,0.71,7,0.39,3.71,0.230,90.5,0.28800000000000003
159,오승택,롯데,0.275,122,353,327,57,90,18,1,8,134,43,4,1,27,66,72,0.92,3,0.17,3.74,0.135,40.7,0.24600000000000002
160,오윤석,롯데,0.273,29,36,33,7,9,1,0,1,13,3,1,0,2,8,8,1.00,0,0.25,3.92,0.121,3.4,0.24
161,김주현,롯데,0.260,47,79,73,7,19,4,0,2,29,12,1,0,6,19,16,1.19,2,0.26,3.84,0.137,8.1,0.23800000000000002
162,박종윤,롯데,0.255,98,326,314,29,80,11,3,4,109,28,1,1,18,107,90,1.19,6,0.18,3.51,0.092,25.7,0.21100000000000002
163,문규현,롯데,0.245,105,298,265,24,65,12,1,2,85,25,15,3,15,91,73,1.25,0,0.36,3.57,0.075,23.9,0.20800000000000002
164,김민하,롯데,0.241,54,141,116,18,28,6,0,1,37,8,3,0,7,23,25,0.92,3,0.45,3.91,0.078,14.2,0.243
165,안중열,롯데,0.240,80,137,125,16,30,10,0,1,43,14,4,1,11,34,31,1.10,1,0.23,3.50,0.104,11.1,0.21100000000000002
166,이우민,롯데,0.227,75,174,141,18,32,4,0,4,48,18,17,0,8,43,23,1.87,0,0.23,3.89,0.113,16.2,0.223
167,손용석,롯데,0.217,38,74,69,4,15,2,0,0,17,2,4,0,2,25,18,1.39,0,0.09,3.04,0.029,2.8,0.165
168,오현근,롯데,0.214,20,36,28,3,6,2,0,0,8,3,2,0,2,8,8,1.00,0,1.00,4.17,0.071,3.4,0.23
169,김대우,롯데,0.174,39,100,92,9,16,1,1,3,28,9,2,0,5,22,15,1.47,0,0.13,4.03,0.130,6.0,0.177
170,김준태,롯데,0.154,27,31,26,0,4,0,0,0,4,0,1,0,0,4,6,0.67,0,0.33,3.90,0.000,1.0,0.159
171,임재철,롯데,0.154,38,63,52,6,8,2,0,1,13,3,3,0,3,18,10,1.80,1,0.44,4.52,0.096,3.8,0.183
172,김대륙,롯데,0.148,71,63,54,6,8,0,0,0,8,1,2,0,0,17,12,1.42,0,0.41,4.08,0.000,1.1,0.14800000000000002
173,강동수,롯데,0.125,22,8,8,2,1,0,0,0,1,0,0,0,0,1,0,-,0,0.00,4.63,0.000,-0.2,0.08800000000000001
174,김재유,롯데,0.111,18,10,9,3,1,0,0,0,1,1,0,0,0,5,0,-,0,0.00,3.20,0.000,0.3,0.11800000000000001
175,박세웅,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
176,박준서,롯데,0.000,3,5,5,0,0,0,0,0,0,0,0,0,0,2,0,-,0,0.00,3.60,0.000,-0.5,0.0
177,박진형,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
178,배장호,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
179,백민기,롯데,0.000,8,9,7,1,0,0,0,0,0,0,0,0,0,5,1,5.00,0,1.00,3.44,0.000,0.0,0.1
180,심수창,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
181,이성민,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
182,테임즈,NC,0.381,142,595,472,130,180,42,5,47,373,140,0,7,94,75,133,0.56,12,1.13,3.97,0.409,162.2,0.42100000000000004
183,박정준,NC,0.381,19,24,21,2,8,2,0,0,10,2,0,0,2,5,3,1.67,0,0.00,4.00,0.095,4.3,0.325
184,조평호,NC,0.364,22,22,22,4,8,2,0,1,13,3,0,0,3,4,4,1.00,0,0.00,3.55,0.227,3.7,0.312
185,나성범,NC,0.326,144,622,564,112,184,34,5,28,312,135,3,8,67,126,135,0.93,22,0.25,3.65,0.227,111.8,0.306
186,박민우,NC,0.304,141,617,520,111,158,31,6,3,210,47,3,7,40,133,128,1.04,1,0.68,4.20,0.100,92.4,0.281
187,김종호,NC,0.295,133,486,424,90,125,16,7,4,167,36,10,3,27,155,82,1.89,5,0.68,3.79,0.099,64.1,0.262
188,이호준,NC,0.294,131,518,449,48,132,25,0,24,229,110,3,2,49,120,97,1.24,7,0.60,4.03,0.216,80.1,0.299
189,모창민,NC,0.290,103,239,214,23,62,14,0,6,94,35,4,3,20,50,53,0.94,1,0.35,3.69,0.150,32.1,0.263
190,박광열,NC,0.286,33,22,21,2,6,1,0,0,7,3,0,1,1,7,3,2.33,1,0.00,3.73,0.048,1.5,0.20600000000000002
191,조영훈,NC,0.282,103,146,124,20,35,8,0,8,67,35,1,2,16,29,26,1.12,4,0.53,4.25,0.258,25.9,0.302
192,이종욱,NC,0.268,125,504,440,63,118,25,2,5,162,52,4,3,32,119,128,0.93,6,0.69,3.99,0.100,60.7,0.25
193,지석훈,NC,0.267,137,466,415,53,111,15,0,11,159,46,9,3,26,125,97,1.29,5,0.27,3.73,0.116,52.9,0.243
194,김성욱,NC,0.258,125,204,182,32,47,8,1,3,66,26,0,1,12,33,51,0.65,2,0.33,3.64,0.104,21.7,0.24100000000000002
